"NHD","Septic Load","Point Source Load","Developed, Open Space","Cultivated Crops","Forest","Developed, Low Intensity","Developed, Medium Intensity","Pasture/Hay","Developed, High Intensity","WAYLAND - V STP","SPRINGWATER-T WWTP","Total"
"04130002004556",0,0,2.3155345275552,119.1144942,42.63302565,0.4075813326564,NA,73.6292590875,NA,NA,NA,238.099894797712
"04130002004682",0,0,6.9466035826656,50.01652305,10.3191048,0.679302221094,NA,41.3042185125,NA,NA,NA,109.26575216626
"04130002005274",0,0,46.2279928894056,287.3781729,97.07519925,7.7440453204716,5.02092946026,217.579659075,NA,NA,NA,661.025998895137
"04130002005903",0,0,NA,23.7072537,3.44711475,NA,NA,NA,NA,NA,NA,27.15436845
"04130002006790",0,0,40.108365923724,228.3991515,203.8023198,3.2606506612512,NA,329.866642125,NA,NA,NA,805.437130009975
"04130002006821",0,0,42.8373887597712,228.3991515,205.7593914,3.2606506612512,NA,338.562267075,NA,NA,NA,818.818849396022
"04130002006829",0,0,44.656737317136,229.26649005,207.24943455,3.9399528823452,NA,374.478978825,NA,NA,NA,859.591593624481
"04130002007258",0,0,NA,NA,7.3390185,NA,NA,3.591671175,NA,NA,NA,10.930689675
"04130002007578",0,0,1.1577672637776,24.8637051,0.1334367,NA,NA,3.8752241625,NA,NA,NA,30.0301332262776
"04130002007584",0,0,1.4058602488728,10.9862883,1.44556425,NA,NA,15.7844496375,NA,NA,NA,29.6221624363728
"04130002007609",0,0,2.5636275126504,45.39071745,17.81379945,NA,NA,17.1076969125,NA,NA,NA,82.8758413251504
"04130002007784",0,0,1.7366508956664,26.30926935,10.47478095,0.4075813326564,NA,49.4327374875,NA,NA,NA,88.3610200158228
"04130002007839",0,0,NA,17.346771,1.2009303,NA,NA,12.0982608,NA,NA,NA,30.6459621
"04130002007842",0,0,2.06744154246,91.3596606,8.1841176,0.4075813326564,NA,5.3875067625,NA,NA,NA,107.406307837616
"04130002008020",0,0,NA,5.2040313,4.11429825,NA,NA,28.8278870625,NA,NA,NA,38.1462166125
"04130002008391",0,0,NA,0.28911285,44.99040735,NA,NA,37.0509237,NA,NA,NA,82.3304439
"04130002008396",0,0,6.20232462738,185.89956255,156.36557295,0.4075813326564,NA,60.11323335,NA,NA,NA,408.988274810036
"04130002008592",0,0,2.5636275126504,NA,18.83681415,0.1358604442188,NA,41.96584215,NA,NA,NA,63.5021442568692
"04130002008832",0,0,NA,NA,15.2562627,NA,NA,11.153084175,NA,NA,NA,26.409346875
"04130002008891",0,0,NA,NA,3.53607255,NA,NA,2.9300475375,NA,NA,NA,6.4661200875
"04130002009031",0,0,0.4961859701904,NA,1.66795875,NA,NA,NA,NA,NA,NA,2.1641447201904
"04130003001224",0,0,6.9466035826656,25.73104365,2.91336795,16.1673928620372,5.31627825204,23.629415625,1.3645114180236,NA,NA,82.0686133397664
"04130003001229",0,0,40.6872495556128,982.4054643,50.5725093,23.9114381825088,29.23953038622,110.1130768125,7.7322313688004,NA,NA,1244.66149990564
"04130003001230",0,0,106.762681252634,2242.3592646,135.01570095,57.4689679045524,58.77440956422,683.0791468875,3.6386971147296,NA,NA,3287.09886827364
"04130003001231",0,0,6.8639059209672,98.00925615,2.1794661,5.2985573245332,1.4767439589,23.3458626375,NA,NA,NA,137.1737920919
"04130003001236",0,0,245.115869274058,1257.0626718,84.1985577,211.942292981328,214.71857162406,483.6468790125,147.82207028589,NA,NA,2644.50691267784
"04130003001239",0,0,0.5788836318888,56.0878929,1.6012404,0.2717208884376,NA,1.9848709125,NA,NA,NA,60.5246087328264
"04130003001241",0,0,21.0052060713936,1708.94605635,51.150735,4.6192551034392,1.18139516712,161.43616755,NA,NA,NA,1948.33881524195
"04130003001242",0,0,153.073371803738,464.8934628,39.4972632,125.535050458171,131.4302123421,161.8142382,120.986679064759,NA,NA,1197.23027786877
"04130003001248",0,0,NA,28.3330593,0.77838075,NA,NA,15.50089665,NA,NA,NA,44.6123367
"04130003001249",0,0,6.20232462738,43.65604035,2.4463395,4.2116737707828,NA,17.202214575,NA,NA,NA,73.7185928231628
"04130003001250",0,0,62.436734582292,2348.1745677,41.4098559,62.2240834522104,60.84185110668,290.4527768625,58.6739909750148,NA,NA,2924.2138605787
"04130003001254",0,0,NA,NA,NA,NA,NA,0.189035325,NA,NA,NA,0.189035325
"04130003001255",0,0,0.0826976616984,NA,1.62347985,NA,NA,13.6105434,NA,NA,NA,15.3167209116984
"04130003001256",0,0,1.0750696020792,304.7249439,3.4248753,0.1358604442188,NA,18.2419088625,NA,NA,NA,327.602658108798
"04130003001257",0,0,1.653953233968,13.01007825,10.3191048,0.1358604442188,NA,37.42899435,NA,NA,NA,62.5479910781868
"04130003001259",0,0,9.0140451251256,691.5579372,10.29686535,1.6303253306256,NA,61.058409975,NA,NA,NA,773.557582980751
"04130003001262",0,0,818.954943799255,7484.26434795,2081.41236495,277.562887539008,139.99532730372,5256.9778705875,39.1159939833432,NA,NA,16098.2837361128
"04130003001265",0,NA,437.222537399441,2764.78618455,1783.9152423,88.8527305190952,11.51860287942,1742.716661175,NA,NA,365.292,6829.01195882296
"04130003001267",0,0,311.852882264666,760.07768265,1983.3586299,64.8054318923676,6.49767341916,1034.590333725,NA,NA,NA,4161.18263385119
"04130003001268",0,0,NA,38.7411219,2.55753675,NA,NA,1.13421195,NA,NA,NA,42.4328706
"04130003001272",0,0,1.4885579105712,65.05039125,1.1119725,0.1358604442188,NA,NA,NA,NA,NA,67.78678210479
"04130003001277",0,0,83.2765453302888,139.3523937,639.67330035,6.3854408782836,0.29534879178,257.3715949875,NA,NA,NA,1126.35462403785
