"LAKE_ID","Y_Coordinate","X_Coordinate","maxdate"
"1104WAR0375",43.714802,-73.832802,2006-08-01
"1104WIN0529A",43.6325,-74.012901,2003-09-22
"1201ANN0496",42.7379,-73.813003,2009-09-17
"1201CAN0717",43.165402,-74.529297,2010-10-03
"1201COL0519",42.825802,-73.953796,2006-10-03
"1201COR0664",43.041401,-74.4646,2010-07-28
"1201ECA0697",43.1278,-74.480003,2010-09-12
"1201ECA0703A",43.0331,-74.746399,2001-08-22
"1201EST0723",43.233799,-74.512802,2010-07-28
"1201FEA0571",42.814377,-74.115836,2005-06-24
"1201GAL0563",43.030701,-74.074501,2010-09-07
"1201HIN0690A",43.1085,-74.35334,2010-08-26
"1201IRV0732",43.166,-74.470703,2001-05-31
"1201KYS0704A",43.068199,-74.7705,2010-07-28
"1201LIL0716",43.151501,-74.557701,2001-09-26
"1201MAR0570",42.833698,-74.1119,2010-08-29
"1201MIRXXX1",43.039458,-74.992654,2005-06-09
"1201MOU0691",43.106499,-74.370003,2001-09-25
"1201PEC0686",43.110599,-74.4133,2010-10-03
"1201PIN0724",43.1973,-74.512703,2001-08-23
"1201PLE0745",43.1884,-74.5998,2010-09-25
"1201ROC0685A",43.0653,-74.503197,2001-05-31
"1201STEXXX1",43.208977,-75.357803,2010-07-27
"1201STO0721",43.22855,-74.51549,2010-07-28
"1201WCA0698",43.1371,-74.495499,2007-09-04
"1201WOO0690",43.119701,-74.336197,2010-08-26
"1202BEA0596",42.59413,-74.59447,2010-07-27
"1202BLE0630A",42.4431,-74.454201,2010-08-24
"1202COL0649",42.2355,-74.119797,2005-06-07
"1202FAW0605B",42.562199,-74.1679,2010-08-24
"1202HEL0647A",42.3433,-74.214104,2005-06-09
"1202MAY0643",42.414799,-74.561699,2010-08-24
"1202OND0608",42.544201,-74.0849,2006-10-03
"1202RIP0656A",42.191601,-74.127602,2005-06-07
"1202ROS0616",42.5965,-74.531097,2010-07-27
"1202SIL0647B",42.325802,-74.167297,2005-06-09
"1202SUM0629",42.583199,-74.581497,2008-09-18
"1202UBL0630B",42.4436,-74.427696,2010-08-24
"1202WAR0609",42.625099,-74.079102,2001-08-23
"1202WHI0605A",42.5658,-74.156898,2010-08-24
"1203DIA0822",43.307701,-74.729599,2010-08-25
"1203JER0817",43.302399,-74.7612,2010-08-25
"1203THE0850A",43.400799,-74.704102,2001-06-06
"1204MAD1051",42.9016,-75.524101,2010-09-06
"1301ALC0185",42.476898,-73.937599,2004-10-27
"1301BAR0181",41.359501,-73.812698,2003-11-18
"1301BAR0192B",41.325901,-74.080902,2008-08-12
"1301BLAXXX1",41.06803,-73.93851,2007-09-04
"1301BLAXXX2",41.0675,-73.93396,2007-09-04
"1301BRE0150D",41.207199,-74.095703,2008-08-14
"1301BRO0193A",41.330299,-73.994698,2008-08-27
"1301BUR0386",42.601503,-73.555846,2004-09-14
"1301BUR0386A",42.6169,-73.566412,2003-11-18
"1301BUR0386B",42.608922,-73.568627,2003-11-18
"1301BUR0386C",42.5947,-73.561401,2010-10-03
"1301CAN0168A",41.456501,-73.835297,2009-08-11
"1301CHA0341A",41.565201,-74.068802,2005-09-29
"1301CRY0391",42.640111,-73.556249,2003-08-12
"1301DUCXXX1",41.422,-73.8837,2009-08-12
"1301DUN0425",42.7528,-73.479896,2010-09-14
"1301FER0028C",41.0993,-73.826401,2005-06-09
"1301FIR0150A",41.2155,-74.058899,2008-08-13
"1301FOR0441",42.732101,-73.460999,2010-10-17
"1301HEL0207A",42.599919,-74.014456,2005-08-18
"1301HES0184",41.315399,-73.991303,2005-06-24
"1301IND0167",41.3731,-73.887703,2010-09-20
"1301LIT0355",42.697399,-73.741203,2006-07-26
"1301LON0428",42.792099,-73.438698,2010-09-14
"1301LTW0189",41.317902,-74.077599,2008-08-07
"1301MAS0188A",41.3256,-74.074097,2008-08-06
"1301MEA0160",41.253502,-73.9506,2001-09-23
"1301MIL0426",42.775299,-73.449203,2010-09-14
"1301MOH0179",41.313999,-73.848801,2010-10-24
"1301OLA0963",42.2118,-73.831398,2008-08-21
"1301OLAXXX1",42.208111,-73.83625,2005-09-08
"1301OLAXXX2",NA,NA,2005-09-08
"1301OLAXXX3",NA,NA,2005-09-08
"1301ORA0340",41.548801,-74.103699,2005-10-04
"1301PEE0171",41.3395,-73.882797,2010-10-12
"1301QUE0184A",41.310001,-74.028801,2007-09-18
"1301ROA0183B",41.438801,-73.807503,2010-09-24
"1301SEC0150B",41.208599,-74.073601,2008-08-12
"1301SEC0427",42.7799,-73.447601,2010-09-14
"1301SEP0826",41.959801,-73.837601,2010-09-25
"1301SHA0424",42.779598,-73.457298,2010-09-14
"1301SIL0184C",41.290402,-74.054901,2008-09-09
"1301SLE6666",42.294399,-73.8069,2010-10-07
