"LakeID","LocationID","LocationName","County","Y_Coordinate","X_Coordinate","Type","DEC.Region","LocationType","Horz_Method","Horz_Datum","Report_LocationName"
"0703UWB5187","0703UWB5187_C","Unnamed Water Centroid","Oneida",43.2784,-75.853302,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0602UWB5310","0602UWB5310_C","Unnamed Water Centroid","Broome",42.2248,-75.852997,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5186","0703UWB5186_C","Unnamed Water Centroid","Oneida",43.278,-75.852799,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0303UWB5044","0303UWB5044_C","Unnamed Water Centroid","Jefferson",43.935101,-75.852699,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0703UWB0091A","0703UWB0091A_C","Unnamed Water Centroid","Oneida",43.275799,-75.8508,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0602UWB5313","0602UWB5313_C","Unnamed Water Centroid","Broome",42.179401,-75.849602,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB6003","0703UWB6003_C","Unnamed Water Centroid","Madison",43.001301,-75.847603,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB5018","0303UWB5018_C","Unnamed Water Centroid","Jefferson",44.090302,-75.847,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0602UWB5314","0602UWB5314_C","Unnamed Water Centroid","Broome",42.1632,-75.846802,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0901UWB5134","0901UWB5134_C","Unnamed Water Centroid","Jefferson",44.381901,-75.846397,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0602UWB5344","0602UWB5344_C","Unnamed Water Centroid","Chenango",42.349701,-75.845802,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5168","0603UWB5168_C","Unnamed Water Centroid","Broome",42.036999,-75.845398,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0602UWB5338","0602UWB5338_C","Unnamed Water Centroid","Chenango",42.354801,-75.845299,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB5056","0303UWB5056_C","Unnamed Water Centroid","Jefferson",43.7173,-75.8423,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0603UWB5153","0603UWB5153_C","Unnamed Water Centroid","Broome",42.008999,-75.841301,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5172","0603UWB5172_C","Unnamed Water Centroid","Broome",42.0924,-75.840897,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0901UWB5130","0901UWB5130_C","Unnamed Water Centroid","Jefferson",44.344898,-75.840103,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0303UWB5057","0303UWB5057_C","Unnamed Water Centroid","Jefferson",43.7145,-75.8395,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0603UWB5167","0603UWB5167_C","Unnamed Water Centroid","Broome",42.0397,-75.839401,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5170","0603UWB5170_C","Unnamed Water Centroid","Broome",42.091099,-75.838402,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5163","0703UWB5163_C","Unnamed Water Centroid","Madison",43.146099,-75.836601,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5178","0603UWB5178_C","Unnamed Water Centroid","Broome",42.099602,-75.833801,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5298","0603UWB5298_C","Unnamed Water Centroid","Broome",42.131901,-75.833702,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB0151","0703UWB0151_C","Unnamed Water Centroid","Madison",42.9198,-75.833603,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5169","0603UWB5169_C","Unnamed Water Centroid","Broome",42.091202,-75.830902,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0602UWB5345","0602UWB5345_C","Unnamed Water Centroid","Chenango",42.308399,-75.8284,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB0051","0703UWB0051_C","Unnamed Water Centroid","Oneida",43.248798,-75.8284,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0703UWB0092A","0703UWB0092A_C","Unnamed Water Centroid","Oneida",43.337299,-75.826302,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0603UWB5177","0603UWB5177_C","Unnamed Water Centroid","Broome",42.0886,-75.825203,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5299","0603UWB5299_C","Unnamed Water Centroid","Broome",42.136299,-75.824898,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0906UWB5037","0906UWB5037_C","Unnamed Water Centroid","Jefferson",44.072399,-75.824501,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0602UWB5301","0602UWB5301_C","Unnamed Water Centroid","Broome",42.150398,-75.823898,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5176","0603UWB5176_C","Unnamed Water Centroid","Broome",42.0868,-75.823601,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5297","0703UWB5297_C","Unnamed Water Centroid","Oneida",43.430901,-75.823303,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0906UWB5036","0906UWB5036_C","Unnamed Water Centroid","Jefferson",44.073502,-75.822098,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0703UWB6000","0703UWB6000_C","Unnamed Water Centroid","Oswego",43.518101,-75.820602,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
